term,index
member,5665
hs2,4462
com,1899
september,7989
adopt,275
vic,9534
theresa,8992
fuck,3791
enviro,3150
startup,8498
solo,8310
ac,173
celebrations,1557
entry,3146
stage,8465
dt,2891
sculpture,7897
depression,2552
pu,7134
cabt,1392
creates,2222
mow,5921
phasing,6632
rugby,7735
users,9455
opening,6302
nsclc,6162
wildlife,9799
republic,7515
nfkdksjdj,6070
hel,4296
assumptions,676
mitigate,5814
dietary,2648
singles,8170
fentanyl,3516
dropping,2877
developing,2609
lea,5174
learning,5192
machinelearning,5479
chelsea,1644
loving,5436
ignoring,4558
cabriolet,1390
britons,1271
dept,2555
suv,8776
crossing,2265
fashola,3458
whale,9763
profit,7053
dl,2765
attractive,714
idols,4548
rage,7238
ribs,7632
taxing,8872
dragons,2832
blast,1053
sweden,8786
includes,4637
propose,7090
offs,6246
contaminated,2070
housing,4454
loves,5435
quarters,7198
thankyou,8970
nutrient,6180
minister,5785
butt,1370
environmental,3155
cloud,1824
india,4655
issued,4859
recently,7327
sending,7967
capturing,1470
completed,1967
sneak,8270
bag,799
a3,140
injustice,4721
symposium,8807
solve,8314
thankful,8966
warn,9670
restaurant,7564
laws,5158
hotspots,4441
chime,1669
line,5298
efficiency,2999
terms,8936
marker,5562
articles,632
loads,5352
pumps,7157
stink,8544
milli,5761
republican,7516
collect,1878
conservation,2032
following,3677
hues,4468
durable,2908
wheezes,9773
roy,7726
speaker,8376
ranking,7261
nakedmen,5975
pheww,6637
pacific,6412
wil,9793
grabbing,4020
phrase,6655
electric,3017
transit,9191
globally,3955
used,9451
collection,1881
breathelife,1236
sufferers,8677
offered,6236
weapons,9715
crimes,2241
1am,36
tons,9110
carb,1472
brain,1198
mining,5784
peatlands,6551
helps,4309
vaccination,9469
stone,8554
colour,1895
snacks,8265
understand,9362
failures,3412
sharyland,8050
owned,6396
houses,4453
humid,4483
breaches,1219
hears,4274
target,8856
decisions,2439
kit,5053
throwaway,9032
emitter,3063
apartment,531
immunity,4587
said,7776
dreadful,2849
emit,3060
panels,6447
exist,3303
fellow,3510
drones,2874
calculator,1403
attitudes,713
imo,4589
interior,4779
use,9450
cannabiscup,1448
yikes,9963
gridlocked,4080
olive,6267
unit,9389
styles,8647
inequality,4678
intrinsic,4792
stations,8509
breakfreefromplastic,1226
fans,3440
fighting,3543
taxi,8871
beg,918
physics,6663
tailpipe,8836
boi,1126
running,7747
covers,2198
tape,8854
companies,1947
surely,8742
older,6265
btsbbmas,1304
manhattan,5530
immigrant,4583
shaming,8040
founder,3725
blight,1069
value,9480
penalties,6565
ye,9946
roof,7705
terrorists,8944
trains,9178
epic,3165
bleeders,1061
toralife,9123
gosh,4002
easyjet,2950
tattoo,8864
declare,2442
drinks,2863
knows,5072
meetings,5657
landscape,5120
enjoyed,3129
wedding,9724
gogreen,3980
threats,9024
proposes,7092
launch,5147
edchat,2972
18th,32
park,6466
seeking,7940
computers,1980
ciao,1705
turnbull,9287
cityoflondon,1726
delays,2487
ludicrous,5453
proposal,7088
proudly,7112
watering,9693
ultimately,9334
lightning,5277
guest,4113
spiritual,8411
annoying,501
3pm,84
animal,488
decreased,2452
stop,8557
darlene,2376
cancels,1439
milky,5758
issues,4860
homes,4393
assists,669
undermines,9360
united,9391
filed,3551
truck,9252
flora,3641
wilshere,9803
reserve,7531
independently,4653
influence,4692
seen,7942
hannah,4187
vuelta,9623
commit,1927
sunlight,8710
theres,8991
teenager,8908
internal,4780
man,5517
tips,9075
deltans,2505
insight,4737
rising,7660
leather,5194
sought,8343
neglected,6026
chapter,1605
differences,2652
poems,6792
consulting,2053
gridlock,4079
helen,4298
keeps,5001
mama,5516
lasting,5133
giv,3935
hat,4225
trace,9157
suspected,8767
talk,8845
pathogenic,6511
bursting,1356
awarded,764
enhancing,3127
writers,9918
carol,1500
cleanest,1769
spell,8392
bestboyband,961
asap,638
blown,1103
hiring,4357
speeds,8391
rains,7248
able,150
karen,4990
catastrophic,1524
biggest,988
touch,9131
ipcc,4825
mr,5927
chocolate,1678
beneficial,953
warning,9672
achieve,204
focused,3664
ailments,355
repost,7507
shed,8056
guide,4116
londonisopen,5381
adani,246
offer,6235
announcing,500
noma,6123
lgbtq,5241
cleanpowerplan,1773
qajgjgjh,7186
tech,8895
km,5057
nollywood,6122
commissioned,1925
shepherds,8065
overview,6390
doin,2786
injuries,4719
better,965
period,6591
referendum,7372
las,5130
lool,5395
systemic,8820
23rd,52
measurement,5633
banana,818
01gmt,0
suffocate,8681
healthyliving,4269
mural,5942
whys,9782
dixon,2760
train,9174
trippie,9244
flower,3646
robots,7684
intro,4793
flies,3629
bakers,805
proposals,7089
starry,8491
alex,399
answer,505
february,3492
beach,887
thx,9048
director,2679
angels,484
updated,9422
pretty,6974
wall,9644
flag,3614
sold,8306
ec,2958
dumping,2902
given,3937
veterans,9527
acrylic,217
jesus,4913
infuriating,4702
residential,7536
rule,7739
plasticfreecoastlines,6740
sorting,8340
slap,8209
rush,7752
frog,3780
paws,6528
beating,899
bastards,862
shld,8086
draftbooster,2827
highway,4339
restoration,7566
jack,4875
crock,2258
mins,5790
tooth,9116
sunrise,8713
blind,1071
tone,9104
pope,6852
homelessness,4391
receiving,7325
shorter,8106
evolving,3251
commercial,1923
accidentally,187
coalition,1841
camping,1429
remembering,7460
sigh,8138
rea,7285
army,605
vote,9608
queensspeech,7202
flaws,3624
spotlight,8431
colophony,1889
30th,72
jailed,4881
amg50years,463
function,3812
negotiations,6028
disability,2689
pledge,6763
belching,932
address,256
happen,4188
preventable,6979
injury,4720
screams,7889
aired,365
abeg,148
participants,6477
thierry,9000
pests,6614
marijuana,5556
presidential,6964
intelligence,4767
output,6368
ngc,6072
finds,3575
central,1564
moving,5920
investments,4811
illegally,4567
joint,4935
evacuation,3230
ill,4565
complaining,1963
garfield,3853
fools,3685
brazil,1214
sudden,8669
converting,2110
judgment,4961
prosperity,7095
folk,3671
antiscience,522
develops,2612
twat,9296
mindful,5767
pak,6435
tyres,9318
grounds,4092
sounds,8350
ben,949
unacceptable,9342
explaining,3336
wishing,9829
freebiefriday,3751
ra,7224
sky,8200
scariest,7840
itchy,4864
daemons,2343
photo,6648
cup,2302
car,1471
time,9066
risen,7658
clarkson,1745
habitats,4145
relative,7429
bedroom,909
ceo,1569
exciting,3280
el,3010
40mins,91
rashford,7274
cocain,1848
inflammatory,4690
malaria,5512
vascular,9495
cock,1850
dates,2386
quickly,7210
checking,1636
ego,3006
sciences,7862
motors,5902
dat,2380
cockroaches,1852
voluntary,9603
recovery,7347
tram,9182
nz,6193
harrow,4219
confused,2012
captured,1468
brook,1287
earn,2932
fur,3823
nelson,6035
skull,8198
shoppers,8099
coast,1842
presents,6960
busses,1365
candidate,1442
clean,1757
sooner,8328
dedicated,2454
elec,3012
int,4763
eaten,2952
cures,2309
residents,7537
utilities,9462
micro,5732
emirates,3053
ricans,7633
sef,7944
amaechi,442
insist,4739
burning,1351
80k,120
tho,9009
couple,2182
importantly,4605
installing,4752
responded,7556
normal,6132
melon,5662
pics,6674
sands,7800
provide,7117
bicycle,980
gaming,3842
bullying,1338
gaze,3872
permafrost,6594
sister,8179
chanyeol,1603
mist,5808
chosen,1693
vale,9475
guts,4131
imperial,4595
senate,7963
comic,1916
leon,5221
shades,8029
limiting,5294
represents,7513
temperature,8920
aldehydes,394
details,2593
friday,3769
progressive,7063
policies,6811
hm,4367
thelastjedi,8980
targets,8859
spirit,8410
61st,110
stephanie,8529
keith,5002
applies,559
spinner,8408
chair,1583
expectancy,3319
banging,823
carcinogenic,1475
database,2382
pledged,6764
births,1024
iphone,4827
informative,4698
obligations,6207
wealth,9711
care,1485
reputation,7518
incorrect,4642
agenda,328
hugs,4475
website,9722
owners,6398
rating,7279
prot,7097
peaceful,6542
protecting,7101
hit,4361
turnout,9290
kidde,5026
sin,8164
balloons,812
qs,7189
letter,5229
ray,7282
dems,2523
paradise,6457
submitted,8654
gallstones,3838
till,9063
perry,6601
migration,5750
failing,3408
resign,7538
iron,4835
acts,238
glamour,3944
bold,1130
shortly,8108
daylight,2399
blessed,1065
generate,3887
choose,1688
nigel,6085
input,4729
foods,3681
gay,3869
defend,2466
reckless,7330
amber,450
blimey,1070
resolutions,7545
balls,813
cunt,2301
expects,3322
liking,5285
dozens,2824
thank,8965
indirect,4663
attempt,704
x3,9930
enforced,3109
monthly,5870
visits,9581
doncaster,2800
gap,3845
dip,2670
warfare,9663
feet,3506
worcester,9869
woodland,9861
ghg,3920
cumulative,2300
tunnel,9281
arm,602
purchase,7166
intravenous,4791
goodies,3992
worldheartday,9888
ps,7127
conveniently,2102
gasp,3861
pocket,6787
sisters,8180
visitors,9580
timber,9065
referee,7370
increased,4644
mercy,5689
defo,2474
phlegm,6644
cop23,2121
rec,7317
kickstarter,5024
magnesium,5492
implementation,4597
effective,2994
trafalgar,9167
sos,8342
neglectin,6027
ipf,4826
thunderstorm,9041
rubber,7732
hurting,4499
salbutamol,7784
vocal,9591
gasoline,3860
creep,2232
ulez,9332
liv,5329
generous,3895
silently,8152
menu,5683
ovarian,6376
yellow,9954
refusing,7391
caught,1535
convo,2114
order,6336
steady,8519
listen,5316
magazine,5488
importance,4603
crackers,2209
honour,4404
alternatives,436
tasty,8863
molecule,5848
cypher,2335
attacked,701
shortlisted,8107
civic,1727
tension,8929
breathtaking,1240
contracts,2085
unea3,9370
garner,3856
killers,5035
rank,7259
plot,6769
aim,356
romance,7698
migrants,5749
bby,883
showing,8120
hypocrite,4516
hospitalizing,4431
excitement,3279
cult,2296
committing,1934
evening,3236
cos,2154
rhetoric,7624
bloomradio,1098
sat,7808
teach,8883
open,6299
enabling,3081
color,1890
calendar,1404
dolantwinsnewvideo,2788
tomorrow,9101
contributing,2090
kids,5031
11am,16
ck,1730
emiss,3055
provided,7118
fuckign,3794
tonight,9107
gripping,4085
planning,6729
trap,9199
bang,822
londra,5384
spur,8445
cars,1510
runner,7745
physician,6660
revealed,7601
huffington,4469
author,732
gw,4135
lbs,5170
culture,2298
therapies,8988
lick,5258
trillion,9238
guard,4107
entering,3137
northeast,6136
ran,7256
tar,8855
aw,757
guidelines,4119
bringing,1264
attachment,699
stagnant,8468
stole,8551
criminals,2243
proves,7116
events,3239
mexico,5721
council,2168
advised,293
kitchen,5054
induced,4671
shayne,8054
courage,2184
ig,4550
bars,850
ah,344
oneplanet,6283
mice,5728
winitwednesday,9814
c2005,1381
prone,7080
statins,8506
pain,6426
londonmarathon,5382
produce,7037
fakescience,3421
community,1941
sessions,8003
dissenting,2744
ultrasound,9338
rest,7563
govts,4015
aggregate,332
ambulance,455
tipping,9074
viable,9530
sheets,8060
page,6423
classified,1750
astrazeneca,684
greenest,4063
lobbyists,5357
garlic,3854
co2n,1836
tries,9233
curb,2304
slavery,8215
nye,6188
sings,8171
bad,794
millions,5763
ive,4870
reason,7310
steel,8525
antioxidant,520
edited,2978
endure,3098
delivering,2501
g20,3829
philip,6640
carrying,1509
published,7142
pollute,6832
essence,3200
instead,4755
arrogance,618
circular,1712
vital,9585
invested,4803
peer,6560
photograph,6649
conscious,2028
tail,8835
carry,1508
protec,7098
plz,6779
diarrhoea,2632
liner,5300
switched,8800
france,3742
wool,9866
models,5839
brentford,1244
latex,5138
offices,6242
enable,3079
stakeholders,8471
minority,5789
trench,9219
ultimate,9333
27th,57
airways,377
devil,2615
blink,1073
comedy,1912
ccc,1545
perfume,6589
porsche,6861
counter,2174
greenpeace,4068
smiling,8250
fluffy,3652
window,9807
filtration,3564
limitations,5292
station,8507
reposting,7508
credits,2231
whats,9766
fringe,3777
goal,3971
delicious,2495
sues,8673
advice,291
admits,271
beard,893
twist,9306
incompetent,4641
voteno,9611
accept,180
honesty,4400
parent,6460
chips,1675
film,3555
produc,7036
aspire,654
prior,7005
obamacare,6198
coat,1846
daughter,2388
twins,9305
labels,5088
bollocks,1132
drives,2870
sends,7968
soils,8302
lightingtheworld,5276
quest,7203
obama,6197
a4,141
lobbying,5356
pulse,7153
lie,5260
clairefoy,1739
hgvs,4324
sept,7988
fossilfuel,3719
biafra,976
stiff,8541
g7,3830
bulletin,1335
reserved,7532
gays,3870
customs,2318
archives,590
worldpneumoniaday,9891
deer,2461
pellets,6563
outrageous,6370
disruptive,2743
rollback,7693
bombshell,1136
extinguishers,3366
guarantee,4105
sanction,7797
humble,4482
professor,7051
corporation,2142
afc,303
west,9755
using,9457
relevant,7439
okx,6261
virtual,9567
lessons,5224
tuesdaythoughts,9273
local,5358
steroids,8535
ghostly,3923
expanded,3313
apparent,541
worry,9899
fallen,3424
register,7403
inspire,4744
pinner,6695
labor,5089
absolutely,159
refugee,7386
sha,8026
blunt,1112
pit,6706
iea,4549
romford,7702
issuing,4861
zlatan,9992
dieselgate,2645
hd,4248
highlighted,4334
opt,6323
sand,7798
food,3680
detox,2602
hear,4271
smoky,8263
ecological,2962
kudos,5079
pops,6854
encouraged,3085
leak,5184
emerging,3050
beis,930
album,392
viewer,9547
tired,9077
hardly,4205
sativa,7810
spraying,8438
copies,2125
bull,1332
gig,3929
cancel,1435
endotoxin,3096
han,4173
cuz,2324
advertising,290
phcn,6633
preventer,6982
smokescreen,8260
people,6575
freshwater,3767
idle,4546
want,9654
tolworth,9098
brit,1268
homeopathy,4392
peeps,6559
finally,3568
academics,175
fghj,3527
nearly,6009
hindu,4351
ars,620
floating,3634
deadlier,2405
vegans,9504
mesh,5695
alumnisyndicate,440
api,533
exclusion,3283
hiding,4329
oct,6228
landfill,5114
disabilities,2688
mop,5876
natgas,5989
closures,1821
exemption,3292
admire,267
half,4156
application,556
parties,6485
reuniting,7595
pee,6557
mus,5947
wha,9762
years,9951
happily,4194
offences,6234
odd,6231
threshold,9025
glossing,3960
estimate,3209
wants,9657
voting,9615
overfishing,6384
norwegian,6140
throwback,9033
fine,3576
transition,9192
new,6056
sweetheart,8789
blackish,1041
frequency,3760
oloni,6269
rarely,7273
ol,6262
lithuania,5324
named,5976
fuelling,3802
manor,5536
turin,9284
moments,5851
protesting,7109
marketing,5564
distant,2746
sign,8141
wonderful,9852
jet,4914
congo,2018
crises,2247
density,2534
ph,6622
undercover,9354
stroll,8618
yh,9960
trailer,9172
weaponized,9714
polluter,6834
science,7861
goals,3973
fears,3485
advanced,284
hemp,4310
bromley,1281
growing,4098
occurs,6223
equalled,3173
knee,5059
entirely,3142
spluttering,8420
lil,5286
tooting,9118
grayling,4046
explain,3333
liverpool,5333
scale,7831
ready,7300
bronchitis,1283
imp,4590
drowning,2883
wells,9749
bye,1379
similar,8157
scores,7874
dog,2783
emphysema,3072
bow,1181
toys,9153
autoimmune,738
purple,7173
crossings,2266
fossil,3718
jenny,4906
puerto,7145
handling,4178
coverage,2195
tire,9076
yelling,9953
pains,6428
hot,4437
cold,1865
quieter,7212
wooden,9860
distress,2748
flouting,3644
stick,8537
pioneer,6697
text,8955
caribbean,1493
seniors,7970
niger,6086
site,8182
voted,9609
politicians,6820
primary,6996
rainforest,7245
precious,6925
sacked,7762
microplastic,5739
powers,6903
switching,8801
sweets,8792
